batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,structured/conv_width,structured/initial_width,structured/lr_scheduler,structured/weight_l1_aggregation,structured_parent,structured_round,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,50,1e-05,d1356f2,0.0,0.0002,0.0,0.0,0.1,round_00,0.0,64.0,64.0,cosine,sum,baseline,0,0.1506322995674881,5.329291731119156,0.10983376389115372,5.329290608790788,235575.53884055399,0.0024424968287348747,0.187109375,2.2484486997127533,0.09380454830825329,2.2484477519989015,235556.140625,0.0024424968287348747
128,./data,mps,2,50,1e-05,d1356f2,0.0,0.0002,0.0,0.0,0.1,round_00,0.0,64.0,64.0,cosine,sum,baseline,0,0.19264421561224895,2.2224060981111093,0.0938293994827704,2.222405144436793,235550.8516512784,0.0023906207643449306,0.23046875,2.1143284529447555,0.09294359534978866,2.1143275082111357,235545.515625,0.0023906207643449306
128,./data,mps,3,50,1e-05,d1356f2,0.0,0.0002,0.0,0.0,0.1,round_00,0.0,64.0,64.0,cosine,sum,baseline,0,0.22296697443181818,2.1196751570837065,0.0925581433429298,2.119674203748053,235540.29647549716,0.002400707919150591,0.262109375,2.0388083934783934,0.09092635363340378,2.0388074576854707,235535.203125,0.002400707919150591
128,./data,mps,4,50,1e-05,d1356f2,0.0,0.0002,0.0,0.0,0.1,round_00,0.0,64.0,64.0,cosine,sum,baseline,0,0.25264855584299023,2.0524312047795816,0.09038762418045239,2.0524302673610775,235529.69864169034,0.002356036799028516,0.2837890625,2.0104628413915635,0.08774638138711452,2.0104619324207307,235523.46875,0.002356036799028516
128,./data,mps,5,50,1e-05,d1356f2,0.0,0.0002,0.0,0.0,0.1,round_00,0.0,64.0,64.0,cosine,sum,baseline,0,0.2744732480919497,1.996276568621397,0.08714850854382596,1.9962756755677136,235517.79816228693,0.002413676818832755,0.307421875,1.9391033798456192,0.08469547908753157,1.9391025096178054,235511.078125,0.002413676818832755
128,./data,mps,6,50,1e-05,d1356f2,0.0,0.0002,0.0,0.0,0.1,round_00,0.0,64.0,64.0,cosine,sum,baseline,0,0.2921574139459567,1.9416968453336845,0.08380615156651898,1.9416960068047047,235504.01953125,0.002399266930297017,0.3271484375,1.8966498881578446,0.08098178487271071,1.8966490864753722,235497.078125,0.002399266930297017
128,./data,mps,7,50,1e-05,d1356f2,0.0,0.0002,0.0,0.0,0.1,round_00,0.0,64.0,64.0,cosine,sum,baseline,0,0.3146035551008853,1.8829533779485659,0.0803219231522896,1.882952564141967,235489.51953125,0.0023517138324677944,0.349609375,1.849837389588356,0.07669353876262903,1.8498366355895997,235482.5625,0.0023517138324677944
128,./data,mps,8,50,1e-05,d1356f2,0.0,0.0002,0.0,0.0,0.1,round_00,0.0,64.0,64.0,cosine,sum,baseline,0,0.33086480030959303,1.836050820621577,0.0768663518723439,1.8360500599850307,235475.79039417615,0.0023401856888085604,0.3673828125,1.7678844213485718,0.07375827096402646,1.76788370013237,235468.703125,0.0023401856888085604
128,./data,mps,9,50,1e-05,d1356f2,0.0,0.0002,0.0,0.0,0.1,round_00,0.0,64.0,64.0,cosine,sum,baseline,0,0.3417228930206461,1.8036585440012542,0.07384801958687603,1.80365782298825,235461.76922052557,0.0023790928535163403,0.3736328125,1.7703431069850921,0.07104480843991041,1.770342394709587,235454.109375,0.0023790928535163403
128,./data,mps,10,50,1e-05,d1356f2,0.0,0.0002,0.0,0.0,0.1,round_00,0.0,64.0,64.0,cosine,sum,baseline,0,0.3578164457258853,1.761605990203944,0.07122070001522926,1.7616052749482067,235447.80544211649,0.0023185708560049534,0.38203125,1.7344735950231551,0.06858543884009123,1.7344728887081147,235442.140625,0.0023185708560049534
