batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,imp_parent,imp_round,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,10,1e-05,4fc4329,large-epoch,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.42835582386363635,4.171482220969417,1.7521632635457949,1.904145553030751,226731.9199662642,0.08134867250919342,0.507421875,3.7173625767230987,1.7962903261184693,1.540080414712429,217726.421875,0.08134867250919342
128,./data,mps,2,10,1e-05,4fc4329,large-epoch,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.594065656546842,3.1970081187107344,1.7789141390133987,1.1448715102266183,205211.88445490057,0.16476751863956451,0.6189453125,3.076511722803116,1.8407344669103622,1.1585861898958683,191790.71875,0.16476751863956451
128,./data,mps,3,10,1e-05,4fc4329,large-epoch,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.6837787050753832,2.6833655576814306,1.7783659622073174,0.9051388053392823,177820.89910333807,0.259645938873291,0.674609375,2.6433097541332247,1.8395880192518235,1.003275153785944,164001.625,0.259645938873291
128,./data,mps,4,10,1e-05,4fc4329,large-epoch,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.7281580452214588,2.3034683296626266,1.7630523707378993,0.7884064280343327,151504.43039772726,0.3477863073348999,0.7353515625,2.1885810136795043,1.784231850504875,0.7939112678170204,139465.1875,0.3477863073348999
128,./data,mps,5,10,1e-05,4fc4329,large-epoch,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.7562046244063161,2.0042157748883422,1.7426842271604321,0.7083794199438258,129581.89635120738,0.4077534079551697,0.6265625,2.580602467060089,1.8236921459436417,1.374641740322113,120594.25,0.4077534079551697
128,./data,mps,6,10,1e-05,4fc4329,large-epoch,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.7838023792613636,1.7720243883403866,1.71691980720921,0.6387672151692889,113324.00355113637,0.44244199991226196,0.7333984375,1.92925483584404,1.7542498469352723,0.859981007874012,106925.6328125,0.44244199991226196
128,./data,mps,7,10,1e-05,4fc4329,large-epoch,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.7916494042358615,1.6361541185866704,1.6887201490727337,0.6112936841831966,102484.35726651279,0.46404337882995605,0.635546875,2.381931322813034,1.705771866440773,1.3981796711683274,98373.4609375,0.46404337882995605
128,./data,mps,8,10,1e-05,4fc4329,large-epoch,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.805057409981435,1.52455385774374,1.6573018858378583,0.5751672932370142,94937.0018865412,0.4921610653400421,0.7158203125,1.8876604855060577,1.7309050738811493,0.9704711556434631,91717.203125,0.4921610653400421
128,./data,mps,9,10,1e-05,4fc4329,large-epoch,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.8155529908835888,1.4487397023899988,1.624354610727592,0.5484537810764529,90026.97028142755,0.5099820494651794,0.76953125,1.5735625147819519,1.6294500291347505,0.7002083614468575,87333.7890625,0.5099820494651794
128,./data,mps,10,10,1e-05,4fc4329,large-epoch,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.8273629852655259,1.3712106059220703,1.5868218256668611,0.5091841612011194,86201.0595259233,0.5304100513458252,0.7953125,1.4756020128726959,1.6259447187185287,0.6376636000350118,83792.21875,0.5304100513458252
