batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,structured/conv_width,structured/initial_width,structured/lr_scheduler,structured/weight_l1_aggregation,structured_parent,structured_round,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,10,1e-05,99ac351,1e-05,0.001,1.0,0.1875,0.2,round_01,0.1875,26.0,32.0,none,sum,demo,1,0.4451028843494979,2.042325700887225,0.08039748410440305,1.5240111022510312,51831.38428844105,0.3784226179122925,0.4884765625,1.8303286612033844,0.06661900226026773,1.4404549568891525,38987.30078125,0.3784226179122925
128,./data,mps,2,10,1e-05,99ac351,1e-05,0.001,1.0,0.1875,0.2,round_01,0.1875,26.0,32.0,none,sum,demo,1,0.4597907788543539,1.8042409494519234,0.08093823708424513,1.4889334701001644,31530.666625976562,0.5237221717834473,0.4833984375,1.6661560952663421,0.0652249451726675,1.4068009704351425,25935.44921875,0.5237221717834473
128,./data,mps,3,10,1e-05,99ac351,1e-05,0.001,1.0,0.1875,0.2,round_01,0.1875,26.0,32.0,none,sum,demo,1,0.4724712950092825,1.6926641372794455,0.0802806591276418,1.4622617197985,23040.159967595882,0.5188912749290466,0.4876953125,1.6454221546649932,0.06341702286154031,1.4358278930187225,20959.361328125,0.5188912749290466
128,./data,mps,4,10,1e-05,99ac351,1e-05,0.001,1.0,0.1875,0.2,round_01,0.1875,26.0,32.0,none,sum,demo,1,0.4856252958998084,1.6328370554203337,0.0806894069114192,1.4337458871304989,19909.03456809304,0.5110681653022766,0.528515625,1.5249544769525527,0.0664606892503798,1.3340419113636017,19091.193359375,0.5110681653022766
128,./data,mps,5,10,1e-05,99ac351,1e-05,0.001,1.0,0.1875,0.2,round_01,0.1875,26.0,32.0,none,sum,demo,1,0.5130183673040434,1.551120164719495,0.08105735040523789,1.36377717893232,18734.215909090908,0.44093087315559387,0.558984375,1.4440539687871934,0.06603450896218419,1.2596362844109534,18441.69921875,0.44093087315559387
128,./data,mps,6,10,1e-05,99ac351,1e-05,0.001,1.0,0.1875,0.2,round_01,0.1875,26.0,32.0,none,sum,demo,1,0.5334669940850951,1.502228147265586,0.08240364904684777,1.3194724131714215,18275.490578391335,0.3968707323074341,0.574609375,1.4247982025146484,0.06508666155859828,1.2428556978702545,18194.1875,0.3968707323074341
128,./data,mps,7,10,1e-05,99ac351,1e-05,0.001,1.0,0.1875,0.2,round_01,0.1875,26.0,32.0,none,sum,demo,1,0.5482979206029664,1.458244413137436,0.08311086211522872,1.2755414677614516,18270.211675470524,0.359304279088974,0.5724609375,1.4160873204469682,0.06478689080104232,1.2339035451412201,18218.31640625,0.359304279088974
128,./data,mps,8,10,1e-05,99ac351,1e-05,0.001,1.0,0.1875,0.2,round_01,0.1875,26.0,32.0,none,sum,demo,1,0.5617305871776559,1.4308889481154354,0.08369631178423086,1.248829727823084,18205.839133522728,0.3388381004333496,0.591015625,1.36305131316185,0.06700984928756952,1.1805104434490203,18254.017578125,0.3388381004333496
128,./data,mps,9,10,1e-05,99ac351,1e-05,0.001,1.0,0.1875,0.2,round_01,0.1875,26.0,32.0,none,sum,demo,1,0.5749585701322014,1.402011771432378,0.08374951944940469,1.2200557013804263,18195.524031205612,0.27430447936058044,0.602734375,1.3335579693317414,0.06560611976310611,1.149882960319519,18367.4375,0.27430447936058044
128,./data,mps,10,10,1e-05,99ac351,1e-05,0.001,1.0,0.1875,0.2,round_01,0.1875,26.0,32.0,none,sum,demo,1,0.5800929213450714,1.3830891471694817,0.08469054714607244,1.200836449184201,18225.186628861862,0.3201262950897217,0.6119140625,1.3119823411107063,0.06704468932002783,1.1315190479159356,18046.263671875,0.3201262950897217
