batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,structured/conv_width,structured/early_stop_patience,structured/early_stop_val_loss_min_delta,structured/early_stop_val_loss_relative,structured/initial_width,structured/lr_scheduler,structured/weight_l1_aggregation,structured_parent,structured_round,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6340085423805497,1.251600329848853,0.07672315071844919,1.0505938291211019,20100.57550603693,0.06025436520576477,0.6625,1.2108042165637016,0.07098389118909836,1.0101174116134644,20068.607421875,0.06025436520576477
128,./data,mps,2,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6392612650313161,1.2483229129151865,0.07760633316568354,1.0481317845935172,20019.035583496094,0.055833663791418076,0.671484375,1.1772310808300972,0.06983595769852399,0.9778827428817749,19934.765625,0.055833663791418076
128,./data,mps,3,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6337989267300476,1.248007257892327,0.078328278508376,1.04964842884378,19835.80408824574,0.05605366453528404,0.6658203125,1.1757127970457077,0.06958956234157085,0.9784147426486015,19729.73828125,0.05605366453528404
128,./data,mps,4,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6455275409600951,1.2253405780277469,0.0795627002265643,1.0291078082201155,19623.195723100143,0.06019210442900658,0.6798828125,1.1553712651133536,0.07116033807396889,0.9603396072983742,19503.095703125,0.06019210442900658
128,./data,mps,5,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6491600576449524,1.2137299828569998,0.08014014090242033,1.0198083519935608,19392.081160111862,0.06396111100912094,0.673046875,1.151476761698723,0.07199272327125072,0.958794154971838,19268.1875,0.06396111100912094
128,./data,mps,6,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6508493133905259,1.2040569504553622,0.0809787095693702,1.0123799377205698,19167.618430397728,0.06081058830022812,0.6650390625,1.1945289179682732,0.0720944533124566,1.0038926519453526,19063.552734375,0.06081058830022812
128,./data,mps,7,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6553128945895217,1.1872400345111436,0.0814790601672774,0.9978534931486304,18938.571377840908,0.06573354452848434,0.671484375,1.1659115329384804,0.07300793938338757,0.9776714831590653,18823.93359375,0.06573354452848434
128,./data,mps,8,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6560823074118658,1.17982518537478,0.08236131878485056,0.9925987395373258,18722.561551180752,0.07288138568401337,0.67421875,1.1496756941080093,0.07372015286237002,0.9635380253195762,18613.693359375,0.07288138568401337
128,./data,mps,9,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6620896465399049,1.1619308335198597,0.08270321138711138,0.9767468952658501,18518.31092418324,0.07580776512622833,0.674609375,1.1419063046574593,0.0746420668438077,0.9576112411916256,18429.431640625,0.07580776512622833
128,./data,mps,10,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6678676412186839,1.1476070611653002,0.08351769694127142,0.9641576881774447,18344.854303533382,0.08205486088991165,0.684375,1.1124562427401543,0.07421951815485954,0.9298104524612427,18264.5078125,0.08205486088991165
128,./data,mps,11,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6717788233337078,1.1356174979697575,0.08371031388047744,0.9536447198214856,18197.194679953835,0.0900370255112648,0.6958984375,1.09568902105093,0.07468417100608349,0.9143428154289722,18134.548828125,0.0900370255112648
128,./data,mps,12,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6723361545327035,1.1279364678670059,0.08426200124350461,0.9470771110870622,18085.852766557175,0.10671116411685944,0.6947265625,1.1040926158428193,0.07583570890128613,0.923702584952116,18038.9296875,0.10671116411685944
128,./data,mps,13,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6786813446405259,1.1130440445108847,0.08470400153997946,0.9329625246199694,18008.06903076172,0.12030533701181412,0.696484375,1.092185078561306,0.07556932047009468,0.9124218434095382,17976.25,0.12030533701181412
128,./data,mps,14,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6799710977145217,1.1088642008941283,0.0848984913265502,0.9292715491557663,17959.181990189987,0.13381235301494598,0.696484375,1.0835381537675857,0.07590690273791552,0.9041112020611763,17942.62109375,0.13381235301494598
128,./data,mps,15,15,1e-05,d1356f2,1e-05,0.001,4.0,0.28125,0.1,round_04,0.28125,23.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,4,0.6812657829035412,1.1054404689507051,0.0850200131323866,0.9260684810578823,17937.115633877842,0.13779720664024353,0.697265625,1.084116679430008,0.07584874015301465,0.9047963745892048,17931.95703125,0.13779720664024353
