batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,structured/conv_width,structured/initial_width,structured/lr_scheduler,structured/weight_l1_aggregation,structured_parent,structured_round,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,10,1e-05,99ac351,1e-05,0.001,5.0,0.625,0.2,round_05,0.625,12.0,32.0,none,sum,demo,5,0.6109631471335888,1.2351331495764581,0.13659880712459033,1.121094685047865,11403.710230047052,0.022817444056272507,0.6427734375,1.151797278225422,0.10755678508430719,1.0378313943743707,11396.4833984375,0.022817444056272507
128,./data,mps,2,10,1e-05,99ac351,1e-05,0.001,5.0,0.625,0.2,round_05,0.625,12.0,32.0,none,sum,demo,5,0.6162873855368658,1.221184422008016,0.1385051224550063,1.1073862551288172,11379.67718228427,0.021564532071352005,0.6572265625,1.1316530272364616,0.1081783652305603,1.0180884197354316,11356.3525390625,0.021564532071352005
128,./data,mps,3,10,1e-05,99ac351,1e-05,0.001,5.0,0.625,0.2,round_05,0.625,12.0,32.0,none,sum,demo,5,0.6197571417486126,1.207492530007254,0.14030364858494562,1.0942138861864805,11327.723197243431,0.022913822904229164,0.6380859375,1.1578039810061456,0.10799472890794277,1.044822169840336,11298.078125,0.022913822904229164
128,./data,mps,4,10,1e-05,99ac351,1e-05,0.001,5.0,0.625,0.2,round_05,0.625,12.0,32.0,none,sum,demo,5,0.6244130761108615,1.2003151599995114,0.14050075894390995,1.0876441718163816,11266.957586115057,0.02125130593776703,0.65546875,1.117982655763626,0.10894712042063474,1.0056658044457436,11231.5751953125,0.02125130593776703
128,./data,mps,5,10,1e-05,99ac351,1e-05,0.001,5.0,0.625,0.2,round_05,0.625,12.0,32.0,none,sum,demo,5,0.6235647491094741,1.1943813553926619,0.1412003371356563,1.082342829047279,11203.711253773083,0.022190988063812256,0.6595703125,1.1146498203277588,0.11042090263217688,1.0029492795467376,11169.9443359375,0.022190988063812256
128,./data,mps,6,10,1e-05,99ac351,1e-05,0.001,5.0,0.625,0.2,round_05,0.625,12.0,32.0,none,sum,demo,5,0.6251652264459566,1.1907238066196442,0.1424583450213752,1.079238704659722,11148.367373379793,0.022351618856191635,0.6458984375,1.1241789370775224,0.11264160796999931,1.0129919037222863,11118.5908203125,0.022351618856191635
128,./data,mps,7,10,1e-05,99ac351,1e-05,0.001,5.0,0.625,0.2,round_05,0.625,12.0,32.0,none,sum,demo,5,0.6265758167613636,1.1909700369631702,0.14177120176397942,1.080017712983218,11095.09024880149,0.022046422585844994,0.650390625,1.1073499366641044,0.1113849313929677,0.9967060476541519,11064.2802734375,0.022046422585844994
128,./data,mps,8,10,1e-05,99ac351,1e-05,0.001,5.0,0.625,0.2,round_05,0.625,12.0,32.0,none,sum,demo,5,0.6245733704417944,1.188903364606879,0.1438306487504054,1.078563739630309,11033.818883722479,0.021829571574926376,0.6509765625,1.1267939984798432,0.11286784373223782,1.0167445555329322,11004.833984375,0.021829571574926376
128,./data,mps,9,10,1e-05,99ac351,1e-05,0.001,5.0,0.625,0.2,round_05,0.625,12.0,32.0,none,sum,demo,5,0.6288273358209566,1.1823476104235107,0.14398096658458764,1.0725197209553285,10982.645635431463,0.021701067686080933,0.666015625,1.103577694296837,0.1123826527968049,0.9940729707479476,10950.357421875,0.021701067686080933
128,./data,mps,10,10,1e-05,99ac351,1e-05,0.001,5.0,0.625,0.2,round_05,0.625,12.0,32.0,none,sum,demo,5,0.6304376775568182,1.1763291016898372,0.144672534132207,1.0670530089939183,10927.46562610973,0.020632881671190262,0.6474609375,1.134922382235527,0.1164569178596139,1.0259120494127274,10900.91796875,0.020632881671190262
