batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,structured/conv_width,structured/initial_width,structured/lr_scheduler,structured/weight_l1_aggregation,structured_parent,structured_round,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,10,1e-05,99ac351,1e-05,0.001,4.0,0.5625,0.2,round_04,0.5625,14.0,32.0,none,sum,demo,4,0.6115796638822014,1.254035296426578,0.12555405842563647,1.1219872292131186,13204.68129383434,0.026733189821243286,0.6384765625,1.2047400042414664,0.09835004806518555,1.0730670005083085,13167.2080078125,0.026733189821243286
128,./data,mps,2,10,1e-05,99ac351,1e-05,0.001,4.0,0.5625,0.2,round_04,0.5625,14.0,32.0,none,sum,demo,4,0.620307074690407,1.233348212120208,0.12645047761245884,1.1019950268620795,13135.191686456854,0.02618340775370598,0.6546875,1.1591299563646316,0.09639080762863159,1.0281452909111977,13098.3720703125,0.02618340775370598
128,./data,mps,3,10,1e-05,99ac351,1e-05,0.001,4.0,0.5625,0.2,round_04,0.5625,14.0,32.0,none,sum,demo,4,0.6225092724304307,1.2208679900927977,0.12705590730448338,1.090368274260651,13049.844346479937,0.02509758621454239,0.6515625,1.1415425106883048,0.09761365987360478,1.0114655122160912,13007.6015625,0.02509758621454239
128,./data,mps,4,10,1e-05,99ac351,1e-05,0.001,4.0,0.5625,0.2,round_04,0.5625,14.0,32.0,none,sum,demo,4,0.6243736190213398,1.2133911824361845,0.12769417940977623,1.0837526583874768,12963.724087801847,0.025083841755986214,0.638671875,1.1970120459794997,0.09798691812902689,1.067882513999939,12912.8564453125,0.025083841755986214
128,./data,mps,5,10,1e-05,99ac351,1e-05,0.001,4.0,0.5625,0.2,round_04,0.5625,14.0,32.0,none,sum,demo,4,0.6263267440213398,1.2052622576328842,0.128317625050179,1.0765192224220796,12874.173939098011,0.0250494796782732,0.662890625,1.1258720472455024,0.09874744899570942,0.9975956812500953,12827.5419921875,0.0250494796782732
128,./data,mps,6,10,1e-05,99ac351,1e-05,0.001,4.0,0.5625,0.2,round_04,0.5625,14.0,32.0,none,sum,demo,4,0.6276041667231105,1.2012599169869314,0.13012747470797462,1.073294486342506,12796.412442294035,0.025083841755986214,0.6357421875,1.2094459295272828,0.10112854186445475,1.0818943202495575,12755.0595703125,0.025083841755986214
128,./data,mps,7,10,1e-05,99ac351,1e-05,0.001,4.0,0.5625,0.2,round_04,0.5625,14.0,32.0,none,sum,demo,4,0.6321096709844741,1.19122771224515,0.12980419983664018,1.0641740455546163,12705.236489035866,0.02568173035979271,0.651953125,1.157664093375206,0.09963997732847929,1.0310706511139869,12659.24609375,0.02568173035979271
128,./data,mps,8,10,1e-05,99ac351,1e-05,0.001,4.0,0.5625,0.2,round_04,0.5625,14.0,32.0,none,sum,demo,4,0.629133128137751,1.1918650337240912,0.13085893550041047,1.0656274453821508,12623.627513538708,0.025729836896061897,0.660546875,1.1228365287184716,0.09948957711458206,0.9971422120928765,12569.3359375,0.025729836896061897
128,./data,mps,9,10,1e-05,99ac351,1e-05,0.001,4.0,0.5625,0.2,round_04,0.5625,14.0,32.0,none,sum,demo,4,0.6335819128223441,1.183932870287787,0.13027056973342868,1.0586505185135386,12528.104752974077,0.025166308507323265,0.659765625,1.126013557612896,0.10161119475960731,1.0010908618569374,12492.1669921875,0.025166308507323265
128,./data,mps,10,10,1e-05,99ac351,1e-05,0.001,4.0,0.5625,0.2,round_04,0.5625,14.0,32.0,none,sum,demo,4,0.6355646306818182,1.1809582227671689,0.1311699892817573,1.056366508149288,12459.040629993786,0.026382703334093094,0.6529296875,1.1508129686117172,0.10274299755692481,1.026595838367939,12421.61328125,0.026382703334093094
