batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,imp/exclude_conv1,imp/exclude_fc,imp/lr_scheduler,imp/rewind_epoch_k,imp/rewind_mode,imp/weight_l1_aggregation,imp_parent,imp_round,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,8,1e-05,ec7f9bd,False,False,cosine,4,late_k,sum,large-checkpoint,4,1e-05,0.001,4.0,0.3438998519573729,0.1,round_04,0.3438998519573729,0.6977292455055497,2.0471249053424057,1.7644428874958644,0.8809157601473007,116619.15394176137,0.4834883213043213,0.7060546875,1.9879602581262588,1.7843181997537614,0.925528247654438,106241.4140625,0.4834883213043213
128,./data,mps,2,8,1e-05,ec7f9bd,False,False,cosine,4,late_k,sum,large-checkpoint,4,1e-05,0.001,4.0,0.3438998519573729,0.1,round_04,0.3438998519573729,0.7548014323481105,1.7180817980657925,1.7306532450020313,0.7177032458341934,100036.12717507103,0.5074119567871094,0.54765625,2.7701060235500337,1.769720995426178,1.8152359575033188,95485.2421875,0.5074119567871094
128,./data,mps,3,8,1e-05,ec7f9bd,False,False,cosine,4,late_k,sum,large-checkpoint,4,1e-05,0.001,4.0,0.3438998519573729,0.1,round_04,0.3438998519573729,0.7893830886618658,1.5128594196655534,1.6874437169595198,0.61279866209423,90004.39000355113,0.5348600745201111,0.694140625,1.968571302294731,1.7018247544765472,1.096677703410387,87187.6640625,0.5348600745201111
128,./data,mps,4,8,1e-05,ec7f9bd,False,False,cosine,4,late_k,sum,large-checkpoint,4,1e-05,0.001,4.0,0.3438998519573729,0.1,round_04,0.3438998519573729,0.8189216383140195,1.362328477203846,1.646601332182234,0.5327152542939241,82959.67813387784,0.5708375573158264,0.7609375,1.6027633145451545,1.6659000545740128,0.7876183953136205,81512.828125,0.5708375573158264
128,./data,mps,5,8,1e-05,ec7f9bd,False,False,cosine,4,late_k,sum,large-checkpoint,4,1e-05,0.001,4.0,0.3438998519573729,0.1,round_04,0.3438998519573729,0.8471827650950714,1.2189497581937097,1.6191652989522978,0.4475630797784437,77137.05106977983,0.6157785654067993,0.80390625,1.3486243039369583,1.6641080170869826,0.5989399429410696,74966.7734375,0.6157785654067993
128,./data,mps,6,8,1e-05,ec7f9bd,False,False,cosine,4,late_k,sum,large-checkpoint,4,1e-05,0.001,4.0,0.3438998519573729,0.1,round_04,0.3438998519573729,0.8735968079417944,1.0878569212826816,1.599168187853965,0.36849653390659526,71934.44094016335,0.6621508002281189,0.8111328125,1.3047198951244354,1.6361707955598832,0.6025104547850788,70219.3125,0.6621508002281189
128,./data,mps,7,8,1e-05,ec7f9bd,False,False,cosine,4,late_k,sum,large-checkpoint,4,1e-05,0.001,4.0,0.3438998519573729,0.1,round_04,0.3438998519573729,0.9004473445767706,0.965785133398392,1.583132087845694,0.2881708858238364,67759.84312855113,0.7207705974578857,0.8802734375,1.0447746127843858,1.6109926581382752,0.381134220212698,66362.4296875,0.7207705974578857
128,./data,mps,8,8,1e-05,ec7f9bd,False,False,cosine,4,late_k,sum,large-checkpoint,4,1e-05,0.001,4.0,0.3438998519573729,0.1,round_04,0.3438998519573729,0.9188614662059329,0.8883461974222552,1.578117455948483,0.2363353898875754,65199.503628817474,0.7538265585899353,0.8984375,0.9658680573105812,1.6147255539894103,0.320931626111269,64492.03125,0.7538265585899353
