batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,structured/conv_width,structured/early_stop_patience,structured/early_stop_val_loss_min_delta,structured/early_stop_val_loss_relative,structured/initial_width,structured/lr_scheduler,structured/weight_l1_aggregation,structured_parent,structured_round,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.4185803346335888,2.2637919577007946,0.06279550128701059,1.5863787806169554,67741.24983354048,0.3058672547340393,0.45703125,2.0666942298412323,0.05944655202329159,1.527348092198372,53934.5546875,0.3058672547340393
128,./data,mps,2,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.4400967684659091,1.9903332411565564,0.06244678106370636,1.5315111252394589,45882.1474498402,0.4349473714828491,0.4724609375,1.8612260967493057,0.05885642003268003,1.464578166604042,39664.73828125,0.4349473714828491
128,./data,mps,3,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.4642864188856699,1.8483473221686753,0.06175293101378801,1.4852780063043942,36306.871792879974,0.44425883889198303,0.51015625,1.736013439297676,0.05951534491032362,1.398540771007538,33747.20703125,0.44425883889198303
128,./data,mps,4,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.4819113991477273,1.760441385548223,0.060292358679527584,1.4389119723981076,32152.882640491833,0.4579657018184662,0.515625,1.6835484236478806,0.0572846227325499,1.3738150358200074,30973.28125,0.4579657018184662
128,./data,mps,5,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.5003896386108615,1.6976735832338983,0.059573218279348854,1.3967672694813122,30090.572526411575,0.4502754509449005,0.5326171875,1.605956956744194,0.05415500896051526,1.3123269915580749,29362.9453125,0.4502754509449005
128,./data,mps,6,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.5124807647344741,1.6475375785746358,0.058900277320803565,1.358569966459816,28896.702215021305,0.39375150203704834,0.527734375,1.6334060072898864,0.056268449686467645,1.3470512315630914,28635.421875,0.39375150203704834
128,./data,mps,7,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.5296174636618658,1.6015818247740918,0.05890992700799622,1.3183757618746974,28320.546902743252,0.36092716455459595,0.5640625,1.5463087663054467,0.05460594249889254,1.2653102427721024,28099.794921875,0.36092716455459595
128,./data,mps,8,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.5465716738253832,1.5600929314439946,0.05876294136132029,1.2811801579188218,27891.218799937855,0.33527228236198425,0.5787109375,1.4824379116296769,0.054696648567914966,1.2049515008926392,27748.58984375,0.33527228236198425
128,./data,mps,9,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.5588082977655259,1.5215832391245798,0.058433167996223674,1.2449979944662615,27658.46541526101,0.30029281973838806,0.5896484375,1.472346955537796,0.054560208413749936,1.1965729847550393,27577.341796875,0.30029281973838806
128,./data,mps,10,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.572707050903277,1.4894170493564822,0.05866052851673554,1.215245033191009,27417.142700195312,0.32465726137161255,0.5974609375,1.4484654068946838,0.05365345804020762,1.1755074232816696,27295.748046875,0.32465726137161255
128,./data,mps,11,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.5827242147854783,1.4588924206115983,0.05922607823529027,1.1870484534989705,27184.337524414062,0.33125028014183044,0.604296875,1.418899267911911,0.05457169534638524,1.14800556153059,27089.31640625,0.33125028014183044
128,./data,mps,12,15,1e-05,d1356f2,1e-05,0.001,1.0,0.09375,0.1,round_01,0.09375,29.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,1,0.589826487512751,1.4419248937205835,0.059465252455662594,1.171761875633489,27016.24295876243,0.34662750363349915,0.612109375,1.398793838918209,0.0545004790648818,1.1293468952178956,26944.640625,0.34662750363349915
