batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,imp_parent,imp_round,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,5,1e-05,4fc4329,5-round,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.4172313960099762,4.1618213152343575,1.7632344151762398,1.8952250748195432,226657.86869673294,0.08268606662750244,0.5208984375,3.553957223892212,1.8119353890419005,1.3785734266042708,217536.5625,0.08268606662750244
128,./data,mps,2,5,1e-05,4fc4329,5-round,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.5873826152899049,3.2152401743964716,1.778633832254193,1.167018031870777,204820.43532492899,0.1693224012851715,0.5634765625,3.163926434516907,1.8165611386299134,1.2516402065753938,191226.8125,0.1693224012851715
128,./data,mps,3,5,1e-05,4fc4329,5-round,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.6650119357827035,2.7308319840918887,1.77973344955932,0.9581756044856526,177263.85791015625,0.26395052671432495,0.66015625,2.698072689771652,1.8684933990240098,1.062129335105419,163592.46875,0.26395052671432495
128,./data,mps,4,5,1e-05,4fc4329,5-round,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.7181014244190671,2.324137410995635,1.7675565288148143,0.8152198544280096,150889.9932084517,0.35662490129470825,0.5818359375,2.828982558846474,1.8491982847452164,1.4413424611091614,138762.171875,0.35662490129470825
128,./data,mps,5,5,1e-05,4fc4329,5-round,0,1e-05,0.001,0.0,0.0,0.02,round_00,0.7519136679104783,2.0056465413760054,1.7489108236675912,0.7178219396790321,128780.71442205255,0.41461238265037537,0.744140625,1.9811359167098999,1.833180871605873,0.7825836658477783,119853.390625,0.41461238265037537
