batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,imp_parent,imp_round,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,5,1e-05,4fc4329,5-round,3,1e-05,0.001,3.0,0.05880781042996507,0.02,round_03,0.4226863360540433,4.063130906359716,1.7488663050938735,1.8816383582624523,218147.51336115057,0.1302361637353897,0.5017578125,3.476973658800125,1.7775368392467499,1.3738095432519912,210314.640625,0.1302361637353897
128,./data,mps,2,5,1e-05,4fc4329,5-round,3,1e-05,0.001,3.0,0.05880781042996507,0.02,round_03,0.5900114425881342,3.148416654630141,1.7777949764647267,1.155736380680041,199266.2528409091,0.2018512338399887,0.6205078125,3.01407213807106,1.8311331510543822,1.140964050590992,187308.984375,0.2018512338399887
128,./data,mps,3,5,1e-05,4fc4329,5-round,3,1e-05,0.001,3.0,0.05880781042996507,0.02,round_03,0.6737467448481105,2.6806732016530903,1.7735828686166892,0.9327607732266188,174789.47629616476,0.2853265404701233,0.656640625,2.673340934514999,1.8505261421203614,1.0509259536862374,162239.65625,0.2853265404701233
128,./data,mps,4,5,1e-05,4fc4329,5-round,3,1e-05,0.001,3.0,0.05880781042996507,0.02,round_03,0.7260840829800476,2.291517438197678,1.7598902095447888,0.7867037283933975,150479.61363636365,0.3572699725627899,0.688671875,2.3989717066287994,1.8103348672389985,1.00458315461874,139437.046875,0.3572699725627899
128,./data,mps,5,5,1e-05,4fc4329,5-round,3,1e-05,0.001,3.0,0.05880781042996507,0.02,round_03,0.7527200718494979,2.0156406313180923,1.743365221064199,0.7179503972557458,129767.28553355824,0.4183216392993927,0.690625,2.244909179210663,1.779028794169426,1.0364959228783845,120839.5546875,0.4183216392993927
