batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,imp/exclude_conv1,imp/exclude_fc,imp/lr_scheduler,imp/rewind_epoch_k,imp/rewind_mode,imp/weight_l1_aggregation,imp_parent,imp_round,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,2,1e-05,0.001,2.0,0.18999992117769127,0.1,round_02,0.18999992117769127,0.704030046578158,2.1000334986231546,1.7470189167017287,0.8726441506296396,122737.1904518821,0.43147704005241394,0.532421875,3.6603068351745605,1.8132042974233626,2.5723985083401204,108789.03125,0.43147704005241394
128,./data,mps,2,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,2,1e-05,0.001,2.0,0.18999992117769127,0.1,round_02,0.18999992117769127,0.755252722481435,1.7385371815074573,1.7031851576810533,0.7135869030078704,102493.3271928267,0.472944051027298,0.558984375,2.8420075088739396,1.6955208867788314,1.8821071304380894,95988.34375,0.472944051027298
128,./data,mps,3,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,2,1e-05,0.001,2.0,0.18999992117769127,0.1,round_02,0.18999992117769127,0.7854990332641385,1.5582612481984226,1.6594264009459452,0.6329331555488434,92531.15278764204,0.5033732652664185,0.6271484375,2.353271871805191,1.6994444996118545,1.4627422109246253,89051.265625,0.5033732652664185
128,./data,mps,4,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,2,1e-05,0.001,2.0,0.18999992117769127,0.1,round_02,0.18999992117769127,0.8102583451704546,1.4111567190424963,1.6182147325439886,0.5540663196112622,85707.4238503196,0.5176954865455627,0.66171875,2.3184399724006655,1.6665373861789703,1.4825994223356247,83582.390625,0.5176954865455627
