batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,imp/exclude_conv1,imp/exclude_fc,imp/lr_scheduler,imp/rewind_epoch_k,imp/rewind_mode,imp/weight_l1_aggregation,imp_parent,imp_round,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,1,1e-05,0.001,1.0,0.09999998208583892,0.1,round_01,0.09999998208583892,0.7007871685041622,2.1491891894150865,1.7456962015818467,0.8782329132611101,127093.88336736505,0.37156158685684204,0.5455078125,3.0411031514406206,1.767705425620079,1.9221994757652283,111888.6015625,0.37156158685684204
128,./data,mps,2,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,1,1e-05,0.001,1.0,0.09999998208583892,0.1,round_01,0.09999998208583892,0.7502688013694503,1.7789968401193619,1.7036251916804097,0.7312867975031788,104769.30291193182,0.40733447670936584,0.6859375,2.0553992241621017,1.6977639257907868,1.0552966505289079,100008.5625,0.40733447670936584
128,./data,mps,3,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,1,1e-05,0.001,1.0,0.09999998208583892,0.1,round_01,0.09999998208583892,0.7853412050753832,1.5727663663300602,1.656551258130507,0.6271782067011703,94557.16199840199,0.4700317680835724,0.616015625,2.6539665937423704,1.759237113595009,1.7470480114221574,90690.1015625,0.4700317680835724
128,./data,mps,4,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,1,1e-05,0.001,1.0,0.09999998208583892,0.1,round_01,0.09999998208583892,0.8112053148109805,1.425410146401687,1.615553309971636,0.5566477274352853,86874.62868430397,0.48314517736434937,0.7994140625,1.4771550476551056,1.672429957985878,0.6136506631970405,86348.765625,0.48314517736434937
128,./data,mps,5,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,1,1e-05,0.001,1.0,0.09999998208583892,0.1,round_01,0.09999998208583892,0.8344381312755021,1.2987301796674728,1.5816408703950318,0.48716874115846376,81154.56389825995,0.5447534918785095,0.716796875,1.836470402777195,1.5804068922996521,1.0409068340435623,79554.78125,0.5447534918785095
128,./data,mps,6,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,1,1e-05,0.001,1.0,0.09999998208583892,0.1,round_01,0.09999998208583892,0.8592911537059329,1.173128461634571,1.5529106171293692,0.4149571244435554,75815.5829634233,0.5866298675537109,0.6380859375,2.1451490074396133,1.5750475525856018,1.3995873734354973,74554.5859375,0.5866298675537109
128,./data,mps,7,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,1,1e-05,0.001,1.0,0.09999998208583892,0.1,round_01,0.09999998208583892,0.8799987176263874,1.052186412059448,1.5311069769615477,0.34509920167990704,70707.19191672585,0.6358171105384827,0.8439453125,1.1921403720974921,1.5811808317899705,0.49762618471868336,69449.8359375,0.6358171105384827
128,./data,mps,8,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,1,1e-05,0.001,1.0,0.09999998208583892,0.1,round_01,0.09999998208583892,0.901140309362249,0.9522673743353649,1.5160539221357217,0.28691408575766464,66533.81433105469,0.6928951144218445,0.834375,1.1998678028583527,1.5761008262634277,0.5465321604162454,65331.98828125,0.6928951144218445
128,./data,mps,9,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,1,1e-05,0.001,1.0,0.09999998208583892,0.1,round_01,0.09999998208583892,0.9204224866222251,0.8617987917228178,1.508470277894627,0.22957025548781862,63221.3466796875,0.7504541277885437,0.8857421875,0.9916795894503594,1.5641175836324692,0.36904992681229487,62261.40234375,0.7504541277885437
128,./data,mps,10,10,1e-05,4fc4329,False,False,cosine,4,late_k,sum,imp_latek,1,1e-05,0.001,1.0,0.09999998208583892,0.1,round_01,0.09999998208583892,0.9338304923677986,0.8081144158813086,1.5058139017359777,0.19450872734358365,61359.0644642223,0.7722916007041931,0.902734375,0.9274904534220696,1.5693599939346314,0.31901904140249826,60845.57421875,0.7722916007041931
