batch_size,data_root,device,epoch,epochs,gamma_activation,git_sha,lambda_weight,lr,pruning/imp_round,pruning/mask_sparsity,pruning/prune_fraction_per_step,run_id,sparsity/mask_zero_fraction,structured/conv_width,structured/early_stop_patience,structured/early_stop_val_loss_min_delta,structured/early_stop_val_loss_relative,structured/initial_width,structured/lr_scheduler,structured/weight_l1_aggregation,structured_parent,structured_round,train/acc,train/loss,train/loss_activation_l1,train/loss_task,train/loss_weight_l1,train/weight_sparsity_ratio,val/acc,val/loss,val/loss_activation_l1,val/loss_task,val/loss_weight_l1,val/weight_sparsity_ratio
128,./data,mps,1,15,1e-05,d1356f2,1e-05,0.001,2.0,0.15625,0.1,round_02,0.15625,27.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,2,0.5704752604731105,1.4948976395482367,0.0608544895129109,1.2267105455764316,26818.65030739524,0.20395024120807648,0.6046875,1.4188517063856125,0.058071454614400865,1.152472946047783,26637.8203125,0.20395024120807648
128,./data,mps,2,15,1e-05,d1356f2,1e-05,0.001,2.0,0.15625,0.1,round_02,0.15625,27.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,2,0.5761472142555497,1.4716512476178734,0.06278261686251922,1.2069057896733284,26474.48620050604,0.17020931839942932,0.606640625,1.4100376531481742,0.05872794408351183,1.1466094434261322,26342.7578125,0.17020931839942932
128,./data,mps,3,15,1e-05,d1356f2,1e-05,0.001,2.0,0.15625,0.1,round_02,0.15625,27.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,2,0.5861076585609805,1.4429977990009568,0.06296832753684033,1.1818907423452898,26110.645751953125,0.18131299316883087,0.60625,1.3985014989972115,0.0586941952817142,1.139644369482994,25885.654296875,0.18131299316883087
128,./data,mps,4,15,1e-05,d1356f2,1e-05,0.001,2.0,0.15625,0.1,round_02,0.15625,27.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,2,0.5956587357954546,1.4193764383142644,0.06396784703247249,1.162460259585218,25691.556940252132,0.1962294727563858,0.6103515625,1.3786480456590653,0.05746878581121564,1.1238671585917472,25478.02734375,0.1962294727563858
128,./data,mps,5,15,1e-05,d1356f2,1e-05,0.001,2.0,0.15625,0.1,round_02,0.15625,27.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,2,0.6025020715526559,1.394614552232352,0.06458581723696129,1.1416066241535274,25300.730052601208,0.16891606152057648,0.6376953125,1.3217591404914857,0.05912308283150196,1.070257031917572,25150.150390625,0.16891606152057648
128,./data,mps,6,15,1e-05,d1356f2,1e-05,0.001,2.0,0.15625,0.1,round_02,0.15625,27.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,2,0.6082899306308139,1.3718735050748696,0.06505677354818379,1.1223271375691348,24954.57314231179,0.17582282423973083,0.6345703125,1.3336230546236039,0.05945965107530356,1.086079090833664,24754.33984375,0.17582282423973083
128,./data,mps,7,15,1e-05,d1356f2,1e-05,0.001,2.0,0.15625,0.1,round_02,0.15625,27.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,2,0.6144107085737315,1.3576309030706233,0.06515527643602002,1.111848326230591,24578.194291548294,0.1677848994731903,0.6447265625,1.292447556555271,0.058716404531151054,1.0483496129512786,24409.732421875,0.1677848994731903
128,./data,mps,8,15,1e-05,d1356f2,1e-05,0.001,2.0,0.15625,0.1,round_02,0.15625,27.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,2,0.6214611940085888,1.3306385644457557,0.06541723621458831,1.0878975457427176,24274.037653142757,0.16155120730400085,0.6451171875,1.2856022343039513,0.06040872111916542,1.0443804517388344,24122.115234375,0.16155120730400085
128,./data,mps,9,15,1e-05,d1356f2,1e-05,0.001,2.0,0.15625,0.1,round_02,0.15625,27.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,2,0.6262478298422965,1.316664748232473,0.06580773840489035,1.0767576091668822,23990.648559570312,0.17575938999652863,0.6443359375,1.286274117231369,0.05973915001377463,1.047759810090065,23851.373046875,0.17575938999652863
128,./data,mps,10,15,1e-05,d1356f2,1e-05,0.001,2.0,0.15625,0.1,round_02,0.15625,27.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,2,0.6298532196405259,1.2998201762410728,0.06638893591959706,1.0623756679282947,23744.383256392044,0.17605186998844147,0.6478515625,1.2827365547418594,0.060651997290551665,1.0462191328406334,23651.681640625,0.17605186998844147
128,./data,mps,11,15,1e-05,d1356f2,1e-05,0.001,2.0,0.15625,0.1,round_02,0.15625,27.0,2.0,0.0,0.05,32.0,cosine,sum,structured-pruning,2,0.6395670573481105,1.279447092590007,0.06679940486157482,1.043876700103283,23556.970642089844,0.19653604924678802,0.6609375,1.23339841067791,0.06115218102931976,0.9986932069063187,23470.4609375,0.19653604924678802
